id,flights,city,country
997,2,Prince George,Canada
998,2,Mazar-i-sharif,Afghanistan
999,2,Prince Pupert,Canada
1000,#N/A,Londrina,Brazil
1001,2,Maracaibo,Venezuela
1002,2,Logroño-Agoncillo,Spain
1003,2,Mackenzie British Columbia,Canada
1004,2,Ponta Delgada,Portugal
1005,3,Nandi,Fiji
1006,2,Mashhad,Iran
1007,2,Mammoth Lakes,United States
1008,2,Nakhchivan,Azerbaijan
1009,2,Lleida,Spain
1010,2,Rijeka,Croatia
1011,2,Maringa,Brazil
1012,2,Mahe,Seychelles
1013,2,Pamplona,Spain
1014,2,Naypyidaw,Burma
1015,2,Nizhniy Novgorod,Russia
1016,2,Najaf,Iraq
1017,#N/A,Pune,India
1018,2,Nevsehir,Turkey
1019,2,Punta Arenas,Chile
1020,2,Red Deer Industrial,Canada
1021,2,Madinah,Saudi Arabia
1022,2,Miri,Malaysia
1023,2,Pyongyang,North Korea
1024,2,Matsuyama,Japan
1025,2,North Bay,Canada
1026,2,Penticton,Canada
1027,2,Patras,Greece
1028,2,Oradea,Romania
1029,2,Merzifon,Turkey
1030,2,Luang Prabang,Laos
1031,2,Mandalay,Burma
1032,2,Osijek,Croatia
1033,2,Minot,United States
1034,2,Nanaimo,Canada
1035,2,Marsa Alam,Egypt
1036,2,Pellston,United States
1037,2,Ostrava,Czech Republic
1038,2,Mogadishu,Somalia
1039,2,Medicine Hat,Canada
1040,2,Mohe County,China
1041,2,Kastamonu,Turkey
1042,2,Leon,Spain
1043,2,Linkoeping,Sweden
1044,2,Jacksn Hole,United States
1045,2,Duluth,United States
1046,2,Hibbing,United States
1047,2,Kagoshima,Japan
1048,2,Hilo,United States
1049,2,Kolkata,India
1050,2,Kaliningrad,Russia
1051,2,Lewiston,United States
1052,2,Heihe,China
1053,2,El Calafate,Argentina
1054,2,Gassim,Saudi Arabia
1055,2,Fort Saint John,Canada
1056,2,Laage,Germany
1057,2,Kazan,Russia
1058,2,Eskissehir,Turkey
1059,2,Kutahya,Turkey
1060,2,Kanazawa,Japan
1061,2,Esfahan,Iran
1062,2,Khudzhand,Tajikistan
1063,2,Lethbridge,Canada
1064,2,Essadouira,Morocco
1065,#N/A,Karpathos,Greece
1066,2,Kano,Nigeria
1067,2,Isparta,Turkey
1068,2,Langkawi,Malaysia
1069,2,Kota Kinabalu,Malaysia
1070,2,Idaho Falls,United States
1071,3,Juliaca,Peru
1072,2,Iles De La Madeleine,Canada
1073,2,Kabul,Afghanistan
1074,2,Escanaba,United States
1075,2,Elko,United States
1076,2,Karamay,China
1077,2,Lincoln,United States
1078,2,Kittila,Finland
1079,2,Kuqa,China
1080,2,Grand Forks,United States
1081,2,Kochi,India
1082,2,Alice Springs,Australia
1083,2,Basrah,Iraq
1084,2,Cockburn Town,Bahamas
1085,#N/A,Acapulco,Mexico
1086,2,Dickinson,United States
1087,2,Bamako,Mali
1088,2,Brno,Czech Republic
1089,2,Casper,United States
1090,2,Antwerp,Belgium
1091,2,Antananarivo,Madagascar
1092,2,Burgos,Spain
1093,2,Campbell River,Canada
1094,2,Aqaba,Jordan
1095,2,Canakkale,Turkey
1096,2,Chita,Russia
1097,2,Butte,United States
1098,2,Bathurst,Canada
1099,3,Babelthuap,Palau
1100,2,Batumi,Georgia
1101,2,Benghazi,Libya
1102,2,Alanya,Turkey
1103,3,Avarua,Cook Islands
1104,2,Bangui,Central African Republic
1105,2,Comox,Canada
1106,2,Baia Mare,Romania
1107,2,Cedar City,United States
1108,2,Çorlu,Turkey
1109,1,Alta,Norway
1110,3,Belem,Brazil
1111,2,Astrakhan,Russia
1112,2,Dnepropetrovsk,Ukraine
1113,2,Bismarck,United States
1114,2,Dominica,Dominica
1115,2,Constanta,Romania
1116,2,Bemidji,United States
1117,2,Deauville,France
1118,2,Aden,Yemen
1119,2,Bolzano,Italy
1120,2,Cody,United States
1121,2,Bagotville,Canada
1122,2,Cartagena,Colombia
1123,2,Barranquilla,Colombia
1124,2,Denizli,Turkey
1125,2,Bakhtaran,Iran
1126,2,Cuzco,Peru
